30-03-2020@08:04:44 | INFO | Job with name JokerJob was done at time
30-03-2020@08:05:22 | INFO | Job with name JokerJob was done at time
30-03-2020@08:06:32 | INFO | Job with name JokerJob was done at time
30-03-2020@08:06:35 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:09:05 | INFO | Job with name JokerJob was done at time
30-03-2020@08:09:08 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:09:09 | INFO | Job with name JokerJob was done at time
30-03-2020@08:09:10 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:43:43 | INFO | Job with name JokerJob was done at time
30-03-2020@08:43:44 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:43:44 | INFO | Job with name JokerJob was done at time
30-03-2020@08:43:45 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:45:01 | INFO | Job with name JokerJob was done at time
30-03-2020@08:45:02 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:45:03 | INFO | Job with name JokerJob was done at time
30-03-2020@08:45:03 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:46:02 | INFO | Job with name JokerJob was done at time
30-03-2020@08:46:03 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:46:03 | INFO | Job with name JokerJob was done at time
30-03-2020@08:46:03 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:49:26 | INFO | Job with name JokerJob was done at time
30-03-2020@08:49:27 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:49:27 | INFO | Job with name JokerJob was done at time
30-03-2020@08:49:27 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:50:38 | INFO | Job with name JokerJob was done at time
30-03-2020@08:50:39 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:50:39 | INFO | Job with name JokerJob was done at time
30-03-2020@08:50:40 | INFO | Calculating result for job JokerJob took time
30-03-2020@08:53:06 | INFO | Took 6.8380632400512695 to get 0 tweets
30-03-2020@08:53:06 | INFO | Took 0.0007805824279785156 to remove duplicates from tweets list
30-03-2020@08:53:06 | INFO | Took 0.0008599758148193359 to sort tweets by date likes and retweets
30-03-2020@08:53:06 | INFO | Took 1.9788742065429688e-05 to clean tweets
30-03-2020@08:53:07 | INFO | Took 8.988380432128906e-05 to write and upload tweets to s3. Upload path TheLastOfUsFanFilmSequelJob.txt
30-03-2020@08:53:07 | INFO | Took 0.008557796478271484 to get highest likes_and_retweets list
30-03-2020@09:00:33 | INFO | Took 15.164855003356934 to get 244 tweets
30-03-2020@09:00:33 | INFO | Took 0.006586551666259766 to remove duplicates from tweets list
30-03-2020@09:00:33 | INFO | Took 0.0006380081176757812 to sort tweets by date likes and retweets
30-03-2020@09:00:33 | INFO | Took 0.001959085464477539 to clean tweets
30-03-2020@09:00:34 | INFO | Took 0.000255584716796875 to write and upload tweets to s3. Upload path JokerJob.txt
30-03-2020@09:00:34 | INFO | Took 0.005778789520263672 to get highest likes_and_retweets list
30-03-2020@09:00:35 | INFO | New sentiment analysis job has started, with the following info {'job_name': 'JokerJob', 'job_id': 'f0aed9b8b348a822193eb978c9d3b2ad', 'out_path': 'SA-Outputs/302740440137-SENTIMENT-f0aed9b8b348a822193eb978c9d3b2ad/output/output.tar.gz', 'start_time': datetime.datetime(2020, 3, 30, 9, 0, 35, 232000, tzinfo=tzlocal())}
30-03-2020@09:05:38 | INFO | Job with name JokerJob was done at time
30-03-2020@09:05:40 | INFO | Calculating result for job JokerJob took time
30-03-2020@09:06:25 | INFO | Job with name JokerJob was done at time
30-03-2020@09:06:27 | INFO | Calculating result for job JokerJob took time
